,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
95,WASP-192,,,TIC 160578764,b,WASP-South,1,1,Transit,2019,2.8786765,0.0408,13.787,731.009,1.62,0.0,1268.82,1620.0,82.7,0.84,307.0,G0 V,5910.0,1.32,1.09,0.14,0.282,4.24,5.7,0.671,,508.885,223.6587187,-38.7445469
96,HD 108236,HD 108236,HIP 60689,TIC 260647166,f,CHaracterising ExOPlanets Satellite (CHEOPS),1,5,Transit,2021,29.54115,0.1758,2.017,4.72,3.16,0.051,,,88.963,0.808,,G3 V,5660.0,0.88,0.87,-0.28,-0.15,4.49,6.7,1.82,,64.5978,186.5740627,-51.3630519
97,WASP-12,,,TIC 86396382,b,SuperWASP,3,1,Transit,2008,1.09142,0.0232,21.712,465.62095,0.267,0.0447,5597.87,2592.6,83.52,0.339,226.4,,6360.0,1.66,1.43,0.07,0.597,4.16,2.0,0.446,,427.246,97.636645,29.6722662
98,GJ 143,HD 21749,HIP 16069,TIC 279741379,c,Transiting Exoplanet Survey Satellite (TESS),1,2,Transit,2019,7.78993,0.0695,0.892,3.7,31.93,,42.63,701.0,88.9,0.42,1.43,K4.5,4640.0,0.7,0.73,0.003,-0.686,4.61,3.8,3.03,,16.32,51.7501882,-63.500166
99,Qatar-6,,,TIC 311133118,b,Qatar,2,1,Transit,2017,3.506195,0.0423,11.904,212.31044,0.692,0.0,27.55,1006.0,86.01,0.878,101.6,K2 V,5052.0,0.72,0.82,-0.025,-0.514,4.64,1.02,3.08,12.75,100.848,222.2100773,22.1526136
100,XO-1,,,TIC 236312126,b,XO,1,1,Transit,2006,3.94153,0.0488,12.778,263.7989,0.64,0.0,336.39,1210.0,88.81,0.24,116.0,G1 V,5750.0,0.88,0.88,0.02,-0.086,4.51,0.9,1.79,,163.553,240.5492745,28.1696248
101,HD 191939,HD 191939,HIP 99175,TIC 269701147,c,Transiting Exoplanet Survey Satellite (TESS),1,5,Transit,2020,28.5805,0.17,3.08,7.2,1.4,0.0,20.85,605.0,89.09,0.63,1.8,G9 V,5348.0,0.94,0.81,-0.15,-0.187,4.3,8.7,1.55,,53.6089,302.0256247,66.8503014
102,TOI-216,,,TIC 55652896,b,Transiting Exoplanet Survey Satellite (TESS),1,2,Transit,2019,17.16073,0.1293,8.0,18.75188,0.34,0.16,25.9,628.0,88.6,0.98,,,5026.0,0.75,0.77,0.32,-0.442,4.66,,2.38,,177.945,73.9800129,-63.2603301
103,WASP-105,,,TIC 158623531,b,SuperWASP-South,1,1,Transit,2017,7.87288,0.075,10.761,572.094,2.65,0.0,166.54,900.0,89.7,0.1,194.0,K2,5070.0,0.9,0.89,0.28,-0.024,4.2,,1.73,,169.272,24.1678686,-50.659308
104,K2-19,,,TIC 281885301,c,K2,1,3,Transit,2015,11.8993,0.0971,4.1,10.8,0.94,0.21,48.8,745.0,91.1,0.367,2.3,G9 V,5322.0,0.82,0.88,0.06,-0.305,4.51,8.0,1.76,20.54,289.827,174.9602543,0.603596
105,TOI-1759,,,TIC 408636441,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2022,18.85019,0.1177,3.14,10.8,1.91,0.0,6.39,443.0,89.72,0.21,3.64,M0.0 V,4065.0,0.6,0.61,0.05,-1.057,4.65,5.0,3.949,35.65,40.0654,326.8516615,62.7538164
106,EPIC 211945201,,,TIC 243244680,b,K2,1,1,Transit,2018,19.49221,0.1493,5.76,27.0,0.65,0.0,31.91,817.0,87.9,0.58,5.7,G0,6069.0,1.39,1.17,0.1,0.373,4.22,3.99,2.253,,181.69,136.5741931,19.4020565
107,HAT-P-18,,,TIC 21744120,b,HATNet,1,1,Transit,2010,5.508023,0.0559,11.153,62.61,0.25,0.084,82.24,852.0,88.8,0.324,27.1,K2,4803.0,0.75,0.77,0.1,-0.569,4.57,12.4,2.94,,161.4,256.346376,33.0123251
108,HD 28109,HD 28109,,TIC 29781292,b,Transiting Exoplanet Survey Satellite (TESS),1,3,Transit,2022,22.89104,0.1357,2.199,18.496,9.56,0.3307,98.75,881.2,87.725,0.8007,,F8/G0 V,6120.0,1.45,1.26,0.0,0.456,4.13,1.1,0.62114,,139.611,65.2383065,-68.1026875
109,KELT-19 A,,,TIC 425206121,b,KELT,2,1,Transit,2017,4.6117093,0.0637,21.409,1293.5681,0.744,,2340.0,1935.0,85.41,0.601,352.0,A8 V,7500.0,1.83,1.62,-0.12,0.978,4.13,,0.376,,300.276,111.5095293,7.6157759
110,K2-285,,,TIC 262715204,b,K2,1,4,Transit,2018,3.471745,0.03817,2.59,9.68,3.07,0.0,234.31,1088.9,86.846,0.57,4.62,K2 V,4975.0,0.79,0.83,0.0,-0.422,4.4,,2.512,,154.961,349.3843458,1.3001522
111,K2-18,,,TIC 388804061,b,K2,1,2,Transit,2015,32.939623,0.1429,2.37,8.92,4.11,0.2,1.01,284.0,89.579,0.601,3.55,M2.5 V,3457.0,0.41,0.36,0.12,-1.597,4.79,,7.07318,39.63,38.0266,172.560141,7.5878315
112,HATS-59,,,TIC 437261733,c,HATSouth,1,2,Radial Velocity,2018,1422.0,2.504,12.3,4036.441,11.9,0.083,0.16,175.9,,,224.0,,5670.0,1.04,1.04,0.18,-0.004,4.42,4.3,1.31,,642.884,170.324325,-22.388177
113,HATS-18,,,TIC 14614418,b,Multiple Observatories,1,1,Transit,2016,0.83784,0.0174,14.897,629.14449,1.1169,0.166,2990.0,2069.48,85.29,0.3,415.2,G V,5600.0,1.02,1.04,0.28,-0.032,4.44,4.2,1.37,9.8,624.368,173.9574203,-29.1560639
114,HATS-25,,,TIC 437333618,b,HATSouth,1,1,Transit,2016,4.2986432,0.05163,14.123,194.82979,0.38,0.176,454.87,1277.0,86.93,0.538,76.8,G,5715.0,1.11,0.99,0.02,0.068,4.35,7.5,1.03,,471.158,207.9076746,-23.7812403
115,HAT-P-50,,,TIC 17746821,b,HATNet,1,1,Transit,2015,3.1220109,0.0453,14.437,429.0705,0.78,0.115,1198.68,1862.0,83.65,0.629,161.3,F5,6280.0,1.7,1.27,-0.18,0.603,4.07,3.37,0.357,,515.458,118.0634379,12.1393474
116,HATS-68,,,TIC 322307342,b,HATSouth,1,1,Transit,2018,3.5862202,0.05071,13.809,410.0007,0.856,0.036,1521.0,1741.0,83.21,0.736,139.3,,6147.0,1.75,1.35,0.21,0.592,4.08,3.02,0.356,,603.955,15.006077,-58.9047242
117,55 Cnc,HD 75732,HIP 43587,TIC 332064670,f,Multiple Observatories,2,5,Radial Velocity,2007,259.88,0.7708,7.59,44.812,0.563,0.08,,,89.73,,5.14,G8V,5172.0,0.94,0.91,0.35,-0.197,4.43,10.2,1.41851,38.8,12.5855,133.1468373,28.3298154
118,HATS-22,,,TIC 14661418,b,HATSouth,1,1,Transit,2017,4.7228124,0.05025,10.682,870.8542,3.89,0.079,111.3,858.0,87.96,0.536,399.0,K V,4803.0,0.69,0.76,0.0,-0.646,4.64,,3.28,,229.518,174.0098693,-29.5433642
119,WASP-88,,,TIC 100566492,b,SuperWASP,1,1,Transit,2014,4.954,0.06431,16.365,133.4886,0.141,0.0,1489.55,1772.0,88.0,0.23,52.4,F6,6430.0,1.8,0.94,-0.08,0.724,3.96,3.0,0.23,,523.756,309.5112337,-48.4620833
120,HATS-2,,,TIC 413376180,b,HATSouth,1,1,Transit,2013,1.354133,0.023,13.092,427.463,1.05,0.0,667.12,1577.0,87.2,0.271,268.9,K,5227.0,0.9,0.88,0.15,-0.268,4.48,9.7,1.43916,24.98,341.925,176.7388264,-22.5630097
121,KELT-23 A,,,TIC 458478250,b,KELT-North,2,1,Transit,2019,2.255251,0.03302,14.83,298.12454,0.503,0.0,991.18,1561.0,85.37,0.576,150.6,G2 V,5899.0,1.0,0.94,-0.105,0.034,4.42,6.4,1.349,,126.261,232.1466406,66.3587097
122,WASP-147,,,TIC 114749636,b,SuperWASP-South,1,1,Transit,2018,4.60273,0.0549,12.498,87.40325,0.263,0.0,591.95,1404.0,87.9,0.31,32.7,G4,5702.0,1.43,1.04,0.092,0.287,4.21,8.47,0.509,,436.098,359.1915117,-22.1532316
123,TOI-157,,,TIC 140691463,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2020,2.0845435,0.03138,14.415,375.0394,0.686,0.0,1062.0,1588.0,82.01,0.8045,192.0,G9 IV,5404.0,1.17,0.95,0.24,0.02,4.28,12.82,0.842,,355.683,73.7014398,-76.6806061
124,K2-114,,,TIC 366576758,b,K2,1,1,Transit,2017,11.3909311,0.0943,10.447,638.8351,3.08,0.081,40.0,701.0,89.21,0.361,200.0,,4920.0,0.82,0.86,0.41,-0.445,4.54,7.2,2.17,,475.758,127.882912,11.922255
125,WASP-106,,,TIC 53189332,b,SuperWASP,1,1,Transit,2014,9.28971,0.0917,11.433,514.8846,1.86,0.0,315.86,1140.0,89.49,0.127,165.3,F9,6055.0,1.31,0.93,-0.09,0.422,4.23,7.0,0.57,,352.181,166.4296276,-5.0794854
126,WASP-55,,,TIC 294301883,b,SuperWASP,2,1,Transit,2012,4.46563,0.0558,14.908,193.8763,0.329,0.0,471.6,1300.0,89.6,0.07,70.0,,5900.0,1.09,1.11,-0.2,0.163,4.3,1.1,1.2,,297.462,203.7581951,-17.5034961
127,HATS-53,,,TIC 157266693,b,HATSouth,1,1,Transit,2017,3.8537768,0.04753,15.02,189.10885,0.303,0.33,471.61,1312.0,88.78,0.198,79.0,,5644.0,1.1,0.96,,0.045,4.34,9.0,1.027,,585.77,176.628323,-33.8600764
128,TOI-1259 A,,,TIC 288735205,b,Transiting Exoplanet Survey Satellite (TESS),2,1,Transit,2021,3.477978,0.0407,11.456,140.16233,0.513,0.0,117.87,963.0,89.7,0.065,72.0,,4775.0,0.71,0.74,-0.5,-0.59,4.61,4.8,2.92,,118.106,282.1001665,79.2564761
129,WASP-37,,,TIC 368805700,b,SuperWASP,1,1,Transit,2010,3.577469,0.0446,13.002,572.07,1.53,0.0,545.33,1232.49550816,88.82,,241.0,,5800.0,1.0,0.93,-0.284,-0.021,4.41,11.0,1.23742,,392.791,221.9438866,1.0650227
130,K2-285,,,TIC 262715204,e,K2,1,4,Transit,2018,14.76289,0.18041,1.95,10.7,,0.0,10.5,500.9,89.799,0.17,1.69,K2 V,4975.0,0.79,0.83,0.0,-0.422,4.4,,2.512,,154.961,349.3843458,1.3001522
131,CoRoT-19,,,TIC 42821097,b,CoRoT,1,1,Transit,2011,3.89713,0.0518,14.46,352.78,0.71,0.047,1103.81,2000.0,88.0,0.24,126.0,F9 V,6090.0,1.65,1.21,-0.02,0.544,4.07,5.0,0.38,,790.663,97.0335983,-0.1707293
132,Qatar-4,,,TIC 440113053,b,Qatar,1,1,Transit,2017,1.8053564,0.02803,12.722,1938.763,5.1,0.0,614.0,1385.0,87.5,0.31,1087.0,K1 V,5215.0,0.85,0.9,0.103,-0.318,4.53,0.17,2.07,6.05,329.036,4.859275,44.0275965
133,WASP-161,,,TIC 50712784,b,SuperWASP-South,1,1,Transit,2018,5.4060425,0.0673,12.812,791.3967,2.2,,990.0,1557.0,89.01,0.14,230.0,,6400.0,1.71,1.39,0.16,0.647,4.11,,0.398,,343.08,126.3378248,-11.5009889
134,K2-390,,,TIC 9030119,b,K2,1,1,Transit,2022,3.312792,,4.662,19.6,1.06,,474.71,1300.0,,0.893,,G4,5558.0,0.97,0.79,-0.116,-0.099,4.37,,1.46127,,456.122,355.702386,-9.5887124
135,HAT-P-35,,,TIC 455096220,b,HATNet,3,1,Transit,2011,3.646706,0.04978,14.93,335.62848,0.55,0.02,999.67,1581.0,87.3,0.357,120.9,,6096.0,1.44,1.24,0.11,0.383,4.21,3.5,0.59,,506.965,123.250703,4.7870288
136,WASP-4,,,TIC 402026209,b,SuperWASP,1,1,Transit,2007,1.33823147,0.0226,14.807,376.94638,0.612,0.0,1188.62,1673.0,89.06,0.136,241.1,G8,5400.0,0.89,0.86,-0.07,-0.179,4.47,7.0,1.711,22.2,267.206,353.5629149,-42.0617794
137,K2-19,,,TIC 281885301,d,K2,1,3,Transit,2016,2.5081,0.0344,1.11,10.0,51.4,0.0,583.5,1252.0,90.8,0.59,6.9,G9 V,5322.0,0.82,0.88,0.06,-0.305,4.51,8.0,1.76,20.4,289.827,174.9602543,0.603596
138,WASP-45,,,TIC 120610833,b,SuperWASP,2,1,Transit,2011,3.126089,0.03963,10.604,306.38812,1.418,0.043,294.0,1153.0,85.02,0.866,149.0,K2 V,5150.0,0.86,0.85,-0.03,-0.336,4.5,12.7,1.92,,211.196,5.2377567,-35.998465
139,TOI-942,,,TIC 146520535,b,Transiting Exoplanet Survey Satellite (TESS),3,2,Transit,2020,4.32419,0.04796,4.81,826.358,,0.0,261.86,1120.0,89.97,0.05,370.0,K2.5 V,4928.0,1.02,0.79,-0.221,-0.369,4.31,0.09,1.634,3.4,152.601,76.6496172,-20.2456126
140,HAT-P-60,,,TIC 354469661,b,HATNet,1,1,Transit,2021,4.7947813,0.06277,18.282,182.43351,0.164,0.25,1634.0,1772.0,83.75,0.668,54.1,,6212.0,2.2,1.44,0.037,0.809,3.91,2.765,0.1909,,233.22,28.2825719,52.0539209
141,WASP-173 A,,,TIC 77031414,b,SuperWASP-South,2,1,Transit,2018,1.38665318,0.0248,13.451,1172.7927,2.84,0.0,1920.0,1880.0,85.2,0.4,645.0,G3,5800.0,1.11,1.05,0.16,0.083,4.37,6.78,1.1,,232.98,354.1686959,-34.6113042
142,WASP-71,,,TIC 422655579,b,SuperWASP,1,1,Transit,2012,2.90367,0.04622,13.227,441.7837,0.94,0.0,3384.61,2049.0,84.2,0.19,236.4,F8,6050.0,1.82,0.76,0.15,0.768,3.9,3.0,0.18,,362.715,29.2634506,0.7588247
143,HAT-P-64,,,TIC 455036659,b,HATNet,1,1,Transit,2021,4.007232,0.05387,19.089,184.34048,0.144,0.101,1611.0,1766.0,88.01,0.232,62.0,,6457.0,1.74,1.3,-0.113,0.668,4.07,2.88,0.35,,651.897,68.9743955,2.4312732
144,Kepler-548,,,TIC 269269546,b,Kepler,1,1,Transit,2016,4.45419434,0.0495,11.99,,,0.0,237.04,1017.0,88.16,0.4894,,,5535.0,0.9,0.93,0.0,-0.201,4.5,4.37,3.16564,,751.776,299.9059167,45.4396103
145,KELT-21,HD 332124,,TIC 203189770,b,KELT-North,1,1,Transit,2018,3.6127647,0.05224,17.777,1242.7153,1.24,0.0,2950.0,2051.0,86.46,0.423,399.6,A8 V,7598.0,1.64,1.46,-0.405,0.905,4.17,1.6,0.468,,470.878,304.8000322,32.5810446
146,HD 219134,HD 219134,HIP 114622,TIC 283722336,d,Roque de los Muchachos Observatory,1,6,Radial Velocity,2015,46.859,0.237,1.61,16.17,,0.138,4.72,410.5,,,3.34,K3 V,4699.0,0.78,0.81,0.11,-0.577,4.57,11.0,2.438,,6.53127,348.3372026,57.1696255
147,HATS-40,,,TIC 172598832,b,HATSouth,1,1,Transit,2018,3.2642736,0.04997,17.71,505.3497,0.49,0.312,3163.38,2101.0,85.8,0.35,162.0,,6460.0,2.26,1.56,0.01,0.903,3.92,2.07,0.189,,1342.29,100.5712467,-29.77678
148,TOI-270,,,TIC 259377017,d,Transiting Exoplanet Survey Satellite (TESS),1,3,Transit,2019,11.379573,0.0721,2.133,4.78,2.72,0.032,3.92,387.0,89.73,0.19,2.56,M,3506.0,0.38,0.39,-0.2,-1.712,4.87,,7.2,,22.4793,68.4160804,-51.9573937
149,WASP-123,,,TIC 31858843,b,SuperWASP,2,1,Transit,2016,2.9776412,0.04263,14.773,285.72917,0.521,0.0,865.49,1520.0,85.74,0.53,114.2,G5,5740.0,1.29,1.17,0.18,0.162,4.29,6.9,0.773,,197.996,289.4792124,-32.8601244
150,Kepler-1517,,,TIC 158555987,b,Kepler,1,1,Transit,2016,5.54608367,0.078,9.76,68.7,0.406,0.0,1526.98,2336.0,83.88,0.7412,,,7010.0,1.95,1.58,0.01,0.879,4.06,1.38,0.31982,,847.299,287.8072115,43.1888008
151,TOI-824,,,TIC 193641523,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2020,1.392978,0.02177,2.926,18.467,4.03,,412.0,1253.0,83.65,0.745,13.2,K4 V,4600.0,0.7,0.71,-0.092,-0.71,4.61,7.5,2.98,,63.9262,222.1654705,-57.5888666
152,HD 28109,HD 28109,,TIC 29781292,c,Transiting Exoplanet Survey Satellite (TESS),1,3,Transit,2022,56.00819,0.308,4.23,7.943,0.577,0.1203,29.95,585.2,89.543,0.365,,F8/G0 V,6120.0,1.45,1.26,0.0,0.456,4.13,1.1,0.62114,,139.611,65.2383065,-68.1026875
153,EPIC 246851721,,,TIC 411839167,b,K2,2,1,Transit,2018,6.180235,0.07229,11.781,953.49,3.1,,642.0,1401.0,86.21,0.647,270.0,F5 V,6202.0,1.59,1.32,0.141,0.526,4.16,3.02,0.465,,372.632,78.9198197,16.2786991
154,Kepler-411,,,TIC 399954349,b,Kepler,2,4,Transit,2013,3.005156,0.0375,2.401,25.6,10.3,0.146,191.27,1138.0,87.4,0.574,,K2 V,4974.0,0.82,0.87,0.11,-0.579,4.6,0.212,3.55299,10.4,153.676,287.6057027,49.5233937
155,Kepler-428,,,TIC 122596693,b,Kepler,1,1,Transit,2014,3.52563254,0.0433,12.11,403.63,1.02,0.22,195.09,1070.0,89.36,0.13,188.0,K1 V,5150.0,0.8,0.87,0.09,-0.39,4.57,5.0,1.704,,686.284,290.5817432,40.5773106
156,K2-285,,,TIC 262715204,d,K2,1,4,Transit,2018,10.45582,0.1178,2.48,6.5,,0.0,24.61,619.9,89.643,0.2,0.68,K2 V,4975.0,0.79,0.83,0.0,-0.422,4.4,,2.512,,154.961,349.3843458,1.3001522
157,HATS-35,,,TIC 339522221,b,HATSouth,1,1,Transit,2016,1.8209993,0.03199,16.41,388.38826,0.484,0.306,2440.7,2037.0,86.9,0.26,170.0,,6300.0,1.43,1.32,0.21,0.465,4.24,2.13,0.628,,514.555,296.688442,-63.5656488
158,WASP-42,,,TIC 248075138,b,SuperWASP,1,1,Transit,2012,4.9816819,0.0561,12.576,167.49641,0.464,0.062,143.44,1021.0,88.0,0.457,64.8,,5315.0,0.89,0.95,0.29,-0.361,4.52,4.4,1.885,,177.291,192.981203,-42.0736165
159,HATS-47,,,TIC 158297421,b,HATSouth,1,1,Transit,2020,3.9228038,0.04269,12.52,117.27927,0.331,0.088,87.73,852.9,87.08,0.7127,61.7,,4512.0,0.66,0.67,-0.113,-0.796,4.63,8.1,3.36,6.42,300.67,287.4844021,-49.6649424
160,WASP-20,,,TIC 211438925,b,SuperWASP,2,1,Transit,2015,4.8996284,0.06,16.388,98.841,0.132,0.0,410.16,1379.0,85.56,0.718,32.8,F9,5940.0,1.39,1.2,-0.008,0.338,4.23,7.0,0.63,,211.877,5.1605621,-23.9357894
161,TOI-530,,,TIC 387690507,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2021,6.387597,0.052,9.303,127.13136,0.93,0.0,14.26,565.0,89.1,0.33,66.5,M0.5 V,3659.0,0.54,0.53,0.376,-1.31,4.7,,4.278,,148.762,103.4128333,12.8815784
162,G 9-40,,,TIC 203214081,b,K2,1,1,Transit,2019,5.746007,0.0385,2.025,4.76,3.15,0.0,7.2,456.0,88.57,0.672,,M2.5 V,3348.0,0.31,0.29,0.04,-1.971,4.93,9.9,14.11,29.85,27.9276,134.7188514,21.0747961
163,WASP-182,,,TIC 369455629,b,WASP-South,1,1,Transit,2019,3.3769848,0.0451,9.528,47.03884,0.318,0.0,756.26,1479.0,83.88,0.775,19.0,G5,5638.0,1.34,1.08,0.27,0.155,4.22,5.952,0.636,30.0,327.602,311.673345,-41.8209828
164,HD 191939,HD 191939,HIP 99175,TIC 269701147,b,Transiting Exoplanet Survey Satellite (TESS),1,5,Transit,2020,8.88029,0.078,3.39,10.4,1.5,0.0,193.17,893.0,88.06,0.62,3.8,G9 V,5348.0,0.94,0.81,-0.15,-0.187,4.3,8.7,1.55,,53.6089,302.0256247,66.8503014
165,WASP-175,,,TIC 448589187,b,WASP-South,1,1,Transit,2019,3.0652907,0.04403,13.54,314.6517,0.74,0.0,649.43,1571.0,85.33,0.64,124.0,F7,6229.0,1.2,1.21,0.15,0.789,4.36,1.745,0.977,,539.36,166.3187996,-34.1227453
166,WASP-35,,,TIC 43647325,b,SuperWASP,1,1,Transit,2011,3.16158,0.04317,14.572,225.6593,0.378,0.0,758.1,1338.29467087,87.96,0.257,94.8,,5990.0,1.08,1.05,-0.15,0.144,4.4,5.0,1.17,,202.218,76.0818912,-6.2297801
167,TOI-1107,,,TIC 394561119,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2022,4.0782387,0.0561,14.572,1064.72516,1.89,0.025,532.0,1728.0,88.63,0.154,349.0,F6 V,6311.0,1.81,1.35,-0.1,0.671,4.05,2.6,0.337,6.2,281.314,155.6078632,-82.2188693
168,LHS 1678,,,TIC 77156829,b,Transiting Exoplanet Survey Satellite (TESS),2,2,Transit,2021,0.8602322,0.01251,0.696,0.35,6.0,0.25,93.2,830.44058138,87.55,0.24,,M2.0 V,3490.0,0.33,0.35,,-1.839,4.89,7.0,13.9,64.0,19.8782,68.1789866,-39.7908744
169,TOI-813,,,TIC 55525572,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2020,83.8911,0.423,6.71,36.4,0.662,0.0,23.1,610.0,89.64,0.3,,G0 IV,5907.0,1.94,1.32,0.1,0.619,3.86,3.73,0.254,,263.145,72.6940102,-60.9054608
170,XO-2 S,,,TIC 356473029,c,Roque de los Muchachos Observatory,2,3,Radial Velocity,2014,120.8,0.4756,13.6,435.409,0.951,0.1528,,,,,57.68,,5399.0,1.02,0.98,0.39,-0.123,4.43,7.1,1.5421,,151.398,117.0309753,50.2169068
171,TOI-1518,,,TIC 427761355,b,Multiple Observatories,1,1,Transit,2021,1.902603,0.0389,21.017,731.00534,,0.01,19308.8,2492.0,77.84,0.9036,281.0,F0,7300.0,1.95,1.79,-0.1,1.462,4.1,,0.59094,,225.888,352.2675207,67.0348062
172,TOI-3629,,,TIC 455784423,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2022,3.936551,0.043,8.295,82.63539,0.8,0.05,39.0,690.0,89.1,0.2,45.0,M1,3870.0,0.6,0.63,0.4,-1.2,4.67,7.0,4.0,,130.091,359.7933851,39.3142556
173,HAT-P-61,,,TIC 259506033,b,HATNet,1,1,Transit,2021,1.90231289,0.0301,10.077,335.94463,1.8,0.113,849.5,1505.0,83.62,0.767,173.0,,5587.0,0.94,1.0,0.194,-0.115,4.5,2.6,1.715,,338.84,75.4801665,50.1311784
174,HATS-72,,,TIC 188570092,b,HATSouth,1,1,Transit,2020,7.3279474,0.066517,8.097,39.85588,0.411,0.013,49.58,739.3,89.56,0.153,16.15,,4656.1,0.72,0.73,0.099,-0.659,4.59,12.17,2.743,48.73,127.589,339.0258401,-17.0003046
175,WASP-46,,,TIC 231663901,b,SuperWASP,1,1,Transit,2011,1.43036763,0.02335,13.159,607.0553,1.467,0.022,1281.24,1636.0,82.8,0.699,386.0,G6 V,5600.0,0.86,0.83,-0.3,-0.111,4.49,9.6,1.845,16.0,375.31,318.7370122,-55.8718634
176,WASP-140,,,TIC 178284730,b,SuperWASP-South,2,1,Transit,2016,2.2359835,0.0323,16.141,775.5052,1.1,0.047,491.33,1320.0,83.3,0.93,403.0,K0,5260.0,0.87,0.9,0.12,-0.294,4.51,0.5,1.94,,117.598,60.3855387,-20.4509991
177,HAT-P-26,,,TIC 420779000,b,HATNet,1,1,Transit,2010,4.23452,0.0479,7.062,22.2481,0.4,0.12,185.07,1001.0,88.6,0.303,8.5,K1,5079.0,0.87,1.12,-0.04,-0.359,4.56,9.0,2.37,,141.837,213.1565508,4.0594175
178,TOI-1227,,,TIC 360156606,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2022,27.36397,0.0886,9.572,66.5,0.417,,3.21,243.766018818,88.571,0.849,,M4.5V-M5V,3072.0,0.56,0.17,,-2.6,4.44,0.011,1.32524,1.65,100.641,186.7673635,-72.4518501
179,HD 73583,HD 73583,,TIC 101011575,b,Transiting Exoplanet Survey Satellite (TESS),1,2,Transit,2022,6.398042,0.0604,2.79,10.2,2.58,0.09,43.3,714.0,88.37,0.566,4.37,K4 V,4511.0,0.65,0.73,0.0,-0.76,4.62,0.48,3.69,12.2,31.5666,129.6883026,-13.2565267
180,L 98-59,,,TIC 307210830,b,Transiting Exoplanet Survey Satellite (TESS),1,4,Transit,2019,2.2531136,0.02191,0.85,0.4,3.6,0.103,24.7,627.0,87.71,0.53,0.46,M3 V,3415.0,0.3,0.27,-0.46,-1.948,4.86,0.8,12.89991,80.9,10.6194,124.5328604,-68.3144658
181,TOI-1130,,,TIC 254113311,c,Transiting Exoplanet Survey Satellite (TESS),1,2,Transit,2020,8.350381,0.07098,16.814,309.56642,0.38,0.047,19.93,637.0,87.43,0.995,125.9,K7,4250.0,0.69,0.68,0.2,-0.854,4.6,8.2,2.97,,58.2609,286.3760037,-41.4376399
182,TOI-1516,,,TIC 376637093,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2022,2.056014,,15.244,1004.33777,1.56,,1903.14,1840.0,90.0,0.09,460.7,F8 V,6520.0,1.14,1.14,-0.05,0.391,4.25,4.82,1.09,,247.054,340.0846204,69.5037313
183,KELT-2 A,HD 42176,HIP 29301,TIC 97735908,b,KELT,2,1,Transit,2012,4.11379,0.05497,15.132,540.311,0.91,0.0,1438.39,1715.0,88.6,,161.1,F8,6327.0,1.93,1.54,0.0,0.689,4.5,3.97,0.3,,134.058,92.6640226,30.9571333
184,K2-308,,,TIC 411697517,b,K2,1,1,Transit,2019,3.38628,,9.916,70.6,0.398,,512.9,1213.74821587,88.44,0.21,,,6100.0,1.24,1.09,-0.1,0.283,3.94,,,,1314.53,78.3391194,16.4141986
185,WASP-19,,,TIC 35516889,b,SuperWASP,1,1,Transit,2009,0.78883852,0.01652,15.861,366.77398,0.506,0.0126,3320.0,2113.0,79.08,0.6671,255.4,G8 V,5616.0,1.01,0.97,0.04,-0.043,4.42,6.4,1.339,10.5,268.325,148.4167672,-45.6591078
186,K2-113,,,TIC 376939759,b,K2,1,1,Transit,2017,5.817685,0.0642,12.14,410.0007,1.97,0.0,170.93,1098.0,86.21,0.72,144.5,G,5660.0,1.24,1.04,0.27,0.009,4.27,5.9,0.987,,635.722,19.4493823,6.8688469
187,TOI-150,,,TIC 271893367,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2019,5.857487,0.07037,14.067,797.7533,1.68,0.262,750.92,1404.5,88.09,0.33,240.0,F,6255.0,1.53,1.35,0.28,0.497,4.13,2.346,0.5332,,336.267,112.965421,-73.6060358
188,WASP-58,,,TIC 424435940,b,SuperWASP,2,1,Transit,2012,5.01718,0.0562,16.029,308.2951,0.45,0.0,404.71,1270.0,87.4,0.46,110.1,G2 V,5800.0,1.22,1.06,-0.45,0.16,4.27,12.8,0.83,,290.404,274.7012534,45.1722194
189,HD 95338,HD 95338,HIP 53719,TIC 304142124,b,Las Campanas Observatory,1,1,Radial Velocity,2020,55.087,0.262,3.89,42.44,3.98,0.197,7.42,385.0,89.57,0.43,8.17,K0.5 V,5212.0,0.87,0.83,0.04,-0.31,4.54,5.08,1.68654,,36.9941,164.8563364,-56.6235564
